filename,source,date,pages,has_tables,language,annotations,entities_tagged
cpwd_Guidelines_for_Hassle_Free_Bid_Submission_1778959268.pdf,cpwd,2024-01-15,3,true,en,cpwd_Guidelines_for_Hassle_Free_Bid_Submission_1778959268.json,167
delhi_pwd_Tender.pdf,delhi_pwd,2024-01-15,1,false,en,delhi_pwd_Tender.json,0
ireps_2724bb1eff78.pdf,ireps,2024-01-15,1,false,en,ireps_2724bb1eff78.json,0
ireps_bc341034058b.pdf,ireps,2024-01-15,1,false,en,ireps_bc341034058b.json,0
rfq_sample_complex.pdf,sample,2024-01-15,1,true,en,rfq_sample_complex.json,329
rfq_sample_medium.pdf,sample,2024-01-15,1,true,en,rfq_sample_medium.json,147
rfq_sample_simple.pdf,sample,2024-01-15,1,true,en,rfq_sample_simple.json,83
